market_id,question,category,subcategory,resolution_type,period,T_open,T_event,T_event_confidence,T_event_sources,T_resolve,tau_days,volume_usdc,p_open,p_event,p_resolve,ils_dl,ils_dl_ci_low,ils_dl_ci_high,ils_dl_30min,ils_dl_2h,ils_dl_6h,ils_dl_24h,in_scope,exclusion_reason
0x44f10d1cd5aaed4b7ae0b5edb76790f54f45dc0bcaa86831c83d865c774fbb90,"Will Airbnb begin publicly trading before Jan 1, 2021?",corporate_disclosure,,deadline_resolved,pre_2024,2020-10-02T19:20:04.234000+00:00,,,,2020-12-11T20:53:24+00:00,,89665.252158,,,0.0,,,,,,,,False,deadline_NO
0x5d1a1ab716fd06943441fe27cde0089651ce769bec55e191b6953468a0e9f0d0,"Will Coinbase begin publicly trading before Jan 1, 2021?",corporate_disclosure,,deadline_resolved,pre_2024,2020-10-02T19:20:04.249000+00:00,,,,2021-01-02T21:43:06+00:00,,116803.377183,,,0.0,,,,,,,,False,deadline_NO
0x3a28635bce8cf50695662a828248ed73b01e6c55e9ce54a967451281669aeb78,Which party will win Texas in the 2020 presidential election?,regulatory_decision,regulatory_decision_announcement,event_resolved,pre_2024,2020-10-28T20:20:03.681000+00:00,2020-11-04T06:06:00+00:00,0.85,5.0,2020-11-04T17:26:11+00:00,6.406901840277778,194336.890284,,,0.0,,,,,,,,False,no_clob_coverage
0xa23e60a31b36c537605edf9eebb3e2be252046f1ffb19ade09f97d47429b5470,"Will Donald Trump formally concede the 2020 US Election before December 1st, 2020?",regulatory_decision,regulatory_decision_announcement,deadline_resolved,pre_2024,2020-11-06T23:05:12.952000+00:00,,,,2020-12-01T15:52:19+00:00,,454342.990794,,,0.0,,,,,,,,False,deadline_NO
0x54e378137aba7b5e2a6629faefb773fe1754b28f0a2282ed748e494545727cee,Will Kanye West release a new studio album before 2021?,corporate_disclosure,,deadline_resolved,pre_2024,2020-11-07T20:35:05.270000+00:00,,,,2021-01-02T21:40:56+00:00,,54154.420953,,,0.0,,,,,,,,False,deadline_NO
0x42fe32be346eef59ded4a190529dba0e4de3e144b10daabd0da971e11f90dd42,Will Uniswap v3 launch before 2021?,corporate_disclosure,,deadline_resolved,pre_2024,2020-11-11T18:25:08.208000+00:00,,,,2021-01-02T21:29:24+00:00,,87371.439296,,,0.0,,,,,,,,False,deadline_NO
0xe71f1c8d994dd447eba467c762f54598b0b0845ab5be4cafe9852bdb94720e57,Will Coinbase reach #1 in the Finance category on the US iOS App Store before 2021?,corporate_disclosure,,deadline_resolved,pre_2024,2020-11-24T16:15:09.126000+00:00,,,,2021-01-02T21:38:00+00:00,,195420.953091,,,0.0,,,,,,,,False,deadline_NO
0x6854930460bb5bcefa01138a1423a7d5d687babd3fe2cb26178d6cd3bf3b8abe,Will Playboi Carti release a new album before 2021?,corporate_disclosure,,deadline_resolved,pre_2024,2020-12-11T16:30:28.580000+00:00,,,,2020-12-25T05:24:07+00:00,,56571.134485,,,0.0,,,,,,,,False,deadline_NO
0xca42b7a053230f908739ddd68a4b89d4f0c56fc104ecfa46e9d0d2c60ba0523e,What will Coinbase’s market cap be 1 week after it starts publicly trading?,corporate_disclosure,,deadline_resolved,pre_2024,2020-12-18T19:05:35.537000+00:00,2021-04-14T17:28:00+00:00,0.9,6.0,2021-04-22T01:23:08+00:00,116.93222758101851,489636.840329,,,,,,,,,,,False,no_clob_coverage
0x27d2c539ab4f349b603d4a47f071f581c06fd13f668d58ed35ae96eada116961,"Will 100 million people have received a dose of an approved COVID-19 vaccine in the US by April 1, 2021?",regulatory_decision,regulatory_decision_formal,deadline_resolved,pre_2024,2020-12-21T20:30:44.783000+00:00,,,,2021-04-01T17:26:20+00:00,,7116763.863114,,,0.0,,,,,,,,False,deadline_NO
